heartRate,oxygen,activity,label
90.3,96.2,67.3,0
92.7,96.6,71.9,0
93.2,96.4,67.2,0
91.6,95.7,75.9,0
90.8,96.1,68.1,0
93.3,96.1,69.4,0
90.2,96.5,73.4,0
91.7,96.4,82.3,0
90.0,96.0,67.5,0
92.0,96.8,71.0,0
89.1,95.8,74.8,0
92.3,96.5,68.2,0
91.2,96.3,72.7,0
92.5,96.4,75.0,0
90.9,96.4,74.7,0
87.8,96.1,69.2,0
89.4,96.1,79.1,0
89.0,96.8,63.2,0
90.0,96.4,74.5,0
92.1,96.7,69.9,0
89.7,96.7,70.7,0
88.1,95.7,67.0,0
91.6,96.4,75.1,0
89.7,96.4,74.8,0
89.9,96.5,68.3,0
89.8,96.1,65.7,0
91.5,96.1,71.7,0
91.5,96.5,75.0,0
90.3,96.1,71.3,0
87.1,95.6,65.1,0
88.5,96.5,67.1,0
89.7,97.0,69.9,0
91.9,95.9,70.7,0
88.5,96.2,75.9,0
87.0,96.6,72.9,0
89.2,95.6,72.1,0
89.3,96.5,71.8,0
93.6,96.3,66.6,0
90.7,96.5,78.5,0
92.0,96.6,79.0,0
87.9,96.1,67.1,0
89.5,95.7,74.9,0
89.8,95.7,66.7,0
90.9,96.8,81.7,0
96.1,96.6,66.8,0
86.0,96.5,67.7,0
89.4,96.1,71.1,0
92.3,96.5,71.0,0
88.1,95.6,69.3,0
90.1,97.3,72.4,0
92.1,96.2,65.9,0
88.2,96.1,82.4,0
88.5,96.9,67.3,0
92.0,96.6,71.0,0
90.0,96.1,74.0,0
89.2,95.8,65.4,0
90.4,97.3,72.6,0
89.8,96.6,78.3,0
90.5,96.3,77.4,0
90.9,97.2,72.7,0
87.5,95.8,80.1,0
93.4,96.4,69.9,0
92.9,95.9,67.4,0
91.2,96.3,71.8,0
89.6,96.7,78.9,0
90.1,96.8,61.6,0
89.8,96.1,65.8,0
88.1,96.3,76.4,0
87.2,96.5,69.5,0
89.2,97.0,74.6,0
92.5,96.5,68.4,0
89.4,96.7,72.8,0
87.6,96.6,73.0,0
94.8,97.5,67.6,0
89.2,95.8,68.9,0
90.4,97.2,68.3,0
88.4,95.5,71.1,0
87.6,96.3,67.5,0
89.5,95.7,64.6,0
93.9,95.9,66.4,0
93.3,98.0,66.1,0
88.9,96.8,80.6,0
87.7,96.5,75.8,0
90.5,96.4,71.3,0
86.8,96.5,70.6,0
90.0,96.3,74.3,0
91.6,96.7,73.7,0
89.7,96.6,68.4,0
90.2,96.6,82.4,0
92.7,96.8,68.2,0
87.3,97.2,73.3,0
90.4,95.8,76.6,0
90.4,96.1,69.6,0
90.0,96.7,70.5,0
89.2,96.5,72.8,0
92.4,95.4,70.8,0
89.8,96.8,70.2,0
85.9,96.8,80.7,0
86.3,97.1,70.4,0
89.2,96.1,70.4,0
99.6,98.4,49.2,0
96.6,99.1,43.0,0
99.5,98.5,54.7,0
99.5,99.5,52.5,0
94.8,98.6,43.0,0
96.9,99.4,52.1,0
96.6,98.1,49.0,0
95.5,98.3,50.4,0
100.3,98.9,37.4,0
98.6,98.6,51.0,0
101.2,97.6,45.9,0
99.2,97.8,56.3,0
98.7,99.0,46.0,0
99.6,99.2,50.1,0
98.4,98.8,44.6,0
97.7,98.6,50.8,0
100.0,98.1,48.3,0
100.9,98.3,44.8,0
98.4,99.1,49.0,0
100.6,99.1,53.1,0
99.1,99.8,47.9,0
94.0,99.5,46.6,0
98.2,99.3,40.9,0
95.5,97.9,45.0,0
98.9,98.9,50.3,0
95.2,97.5,49.2,0
97.0,98.9,52.4,0
98.3,99.1,50.1,0
99.1,98.3,48.0,0
98.4,99.1,47.0,0
99.0,98.6,48.4,0
99.7,97.7,42.5,0
95.0,97.5,45.6,0
99.5,98.6,49.9,0
100.2,99.4,48.6,0
100.7,98.7,44.8,0
96.8,98.0,44.5,0
97.3,99.1,57.6,0
95.2,98.9,43.8,0
99.0,98.7,39.8,0
99.9,98.4,46.3,0
